size;tics
100;14862
200;51834
300;108120
400;181706
500;274210
600;391664
700;535080
800;684152
900;859600
1000;1066394
1100;1276432
1200;1506862
1300;1769490
1400;2042350
1500;2337494
1600;2652174
1700;2995366
1800;3367786
1900;3753814
2000;4195216
2100;4598636
2200;5021414
2300;5458346
2400;5937372
2500;6465832
2600;6962668
2700;7493110
2800;8066512
2900;8652278
3000;9228328
3100;9840932
3200;10462986
3300;11087708
3400;11779176
3500;12441730
3600;13156352
3700;13867480
3800;14704820
3900;15497738
4000;16333700
4100;17161780
