size;time
100;11079
200;43092
300;94209
400;162546
500;254901
600;365352
700;497002
800;648750
900;821417
1000;1013099
1100;1238495
1200;1464490
1300;1712429
1400;1984561
1500;2275786
1600;2592664
1700;2933544
1800;3278623
1900;3671206
2000;4065815
2100;4571715
2200;4911870
2300;5362178
2400;5844359
2500;6316378
2600;6847803
2700;7382161
2800;7968499
2900;8514234
3000;9132225
3100;9735570
3200;10366805
3300;11050171
3400;11747829
3500;12398349
3600;13104787
3700;13867071
3800;14681575
3900;15423502
4000;16204284
4100;17169807
