size;tics
100;42651
200;174137
300;389211
400;688661
500;1078251
600;1553821
700;2122095
800;2753717
900;3488271
1000;4304269
1100;5205371
1200;6203669
1300;7294363
1400;8442941
1500;9706655
1600;11054785
1700;12491839
1800;14012593
1900;15616939
2000;17307309
2100;19087151
2200;20944813
2300;22898275
2400;24943381
2500;27037667
2600;29235477
2700;31500691
2800;33851897
2900;36398463
3000;38934349
3100;41616291
3200;44369285
3300;47159055
3400;50053453
3500;53087847
3600;56159385
3700;59356647
3800;62598565
3900;65971083
4000;69266225
4100;72832675
