size;time
100;28825
200;117341
300;240294
400;368592
500;552863
600;804941
700;1120342
800;1436183
900;1807625
1000;2247928
1100;2728147
1200;3303521
1300;3862454
1400;4519304
1500;5311800
1600;6004944
1700;6908346
1800;7636617
1900;8515942
2000;9495732
2100;10514813
2200;11511321
2300;12659239
2400;13827013
2500;15019148
2600;16177895
2700;17451640
2800;18955514
2900;20544485
3000;21860096
3100;23660469
3200;25140531
3300;26891084
3400;28683180
3500;30480935
3600;32520608
3700;34531485
3800;36627928
3900;38066245
4000;40048013
4100;42563009
