size;tics
100;60095
200;240195
300;540295
400;960395
500;1500495
600;2160595
700;2940695
800;3840795
900;4860895
1000;6000995
1100;7261095
1200;8641195
1300;10141295
1400;11761395
1500;13501495
1600;15361595
1700;17341695
1800;19441795
1900;21661895
2000;24001995
2100;26462095
2200;29042195
2300;31742295
2400;34562395
2500;37502495
2600;40562595
2700;43742695
2800;47042795
2900;50462895
3000;54002995
3100;57663095
3200;61443195
3300;65343295
3400;69363395
3500;73503495
3600;77763595
3700;82143695
3800;86643795
3900;91263895
4000;96003995
4100;100864095
