size;tics
100;42211
200;176007
300;397460
400;706036
500;1100561
600;1577340
700;2158750
800;2785080
900;3552437
1000;4374447
1100;5301885
1200;6315300
1300;7421565
1400;8597847
1500;9867390
1600;11258567
1700;12720117
1800;14280132
1900;15897765
2000;17592422
2100;19396161
2200;21300675
2300;23248800
2400;25341412
2500;27455270
2600;29688607
2700;32019877
2800;34425247
2900;36972302
3000;39577015
3100;42246775
3200;45061490
3300;47911885
3400;50807301
3500;53923856
3600;57047620
3700;60282507
3800;63551682
3900;66984737
4000;70289425
4100;73929832
