size;tics
100;45280
200;181030
300;397804
400;707356
500;1101388
600;1607458
700;2201446
800;2860450
900;3614722
1000;4469064
1100;5411950
1200;6436184
1300;7570262
1400;8769158
1500;10029518
1600;11462984
1700;12950992
1800;14530536
1900;16224798
2000;18039718
2100;19798672
2200;21772872
2300;23742222
2400;25867368
2500;28106386
2600;30380698
2700;32744274
2800;35229064
2900;37630936
3000;40434314
3100;43143444
3200;45904516
3300;48851250
3400;51854028
3500;54946962
3600;58086168
3700;61220322
3800;64856180
3900;68259488
4000;71947890
4100;75591256
