size;time
100;24031
200;108971
300;222162
400;341944
500;522466
600;757155
700;1062243
800;1351545
900;1723582
1000;2116287
1100;2572711
1200;3104090
1300;3696367
1400;4257876
1500;4950290
1600;5637760
1700;6398540
1800;7195814
1900;8053963
2000;8921514
2100;9998720
2200;11080613
2300;12061630
2400;13373430
2500;14194149
2600;15640373
2700;17136541
2800;18391884
2900;19945056
3000;21280994
3100;22591109
3200;24301130
3300;25816346
3400;27409186
3500;29332009
3600;31214785
3700;33076963
3800;34948858
3900;37115750
4000;39007816
4100;40909959
