;size;selection_reverse_sorted;selection_almost_sorted;selection_small_numbers;selection_large_numbers;bubble_reverse_sorted;bubble_almost_sorted;bubble_small_numbers;bubble_large_numbers;bubble_1_reverse_sorted;bubble_1_almost_sorted;bubble_1_small_numbers;bubble_1_large_numbers;bubble_2_reverse_sorted;bubble_2_almost_sorted;bubble_2_small_numbers;bubble_2_large_numbers;simple_insertion_reverse_sorted;simple_insertion_almost_sorted;simple_insertion_small_numbers;simple_insertion_large_numbers;binary_insertion_reverse_sorted;binary_insertion_almost_sorted;binary_insertion_small_numbers;binary_insertion_large_numbers;counting_reverse_sorted;counting_almost_sorted;counting_small_numbers;counting_large_numbers;radix_reverse_sorted;radix_almost_sorted;radix_small_numbers;radix_large_numbers;merge_reverse_sorted;merge_almost_sorted;merge_small_numbers;merge_large_numbers;quick_reverse_sorted;quick_almost_sorted;quick_small_numbers;quick_large_numbers;heap_reverse_sorted;heap_almost_sorted;heap_small_numbers;heap_large_numbers;shell_shell_reverse_sorted;shell_shell_almost_sorted;shell_shell_small_numbers;shell_shell_large_numbers;shell_ciura_reverse_sorted;shell_ciura_almost_sorted;shell_ciura_small_numbers;shell_ciura_large_numbers
0;100;17954;12498;15883;16754;37775;11079;28825;27212;37498;556;30588;28331;37890;1022;24031;28445;10798;582;9415;7332;14780;5314;13041;12720;17911;1629;1653;23470;3671;3167;1806;4740;9753;10430;15470;14355;23931;24916;6588;5289;5840;7981;5367;9063;3184;1087;3544;5881;2971;917;3388;5859
1;200;66276;48093;60417;55944;137674;43092;117341;109357;140344;1015;126603;112818;144543;1059;108971;112154;42701;886;34316;27714;52530;11904;42404;41657;18216;3030;3056;23571;7015;6379;3385;8637;20088;21403;32397;28243;89900;85385;17970;12614;14638;19720;13223;19830;7394;2347;8142;13714;5828;1909;7915;14256
2;300;142972;99726;127943;118299;315400;94209;240294;242475;308679;1516;254924;229181;314367;1519;222162;228613;91784;1333;72135;56410;108673;20116;79131;84528;19112;4630;4541;24768;10426;9130;5044;12595;33165;32616;53559;42982;201917;186684;37255;20249;24254;32767;21483;36837;12614;4063;15818;29101;10549;3618;11567;33074
3;400;252354;168001;196082;184972;550907;162546;368592;407615;548335;2038;375659;391049;562768;2032;341944;382654;165600;1785;111866;95399;189900;27136;125902;118620;19841;6175;6222;25638;14850;11645;6691;16732;42075;42939;67925;60160;356757;328763;64933;30237;36596;48762;31289;50586;16364;5221;24379;47036;13150;4751;17293;46094
4;500;394096;254209;270095;268343;853820;254901;552863;617875;854565;2543;538583;604294;877935;2539;522466;592401;257061;2207;159050;137686;289651;33774;181479;166771;20809;7758;7461;26241;18495;14535;7747;21288;52101;53529;95037;69504;551205;513869;87454;37976;51577;61814;41420;64701;23714;6508;26664;59737;18370;5598;24305;60019
5;600;563472;367314;370815;382371;1227215;365352;804941;890881;1230432;3047;781559;882257;1280889;3019;757155;863402;368129;2592;201517;184322;409063;42348;220639;219475;21839;9229;8416;26159;21067;18112;8980;25173;66662;67068;107309;82330;794865;726824;110438;44022;62201;73579;54999;79986;26845;8837;30667;71141;22559;6844;25859;77730
6;700;767159;499971;503746;513853;1676882;497002;1120342;1225545;1679047;3460;1061291;1204563;1720873;3545;1062243;1185283;500269;3860;242127;249391;549184;48836;270687;295777;22290;10764;9331;26386;24581;20540;10449;28049;78940;77559;123605;94740;1080651;991273;137466;56538;78179;89730;62406;90544;33260;10307;37374;88932;26770;8141;34478;89800
7;800;1004073;650950;658595;678640;2166002;648750;1436183;1587269;2190873;3755;1344780;1546184;2246325;4061;1351545;1524275;657709;3459;269558;319968;714361;59334;329654;379485;23290;12482;10619;27455;27674;22812;12655;30856;88432;89150;126159;109522;1402680;1285640;164761;67037;90058;106368;80419;100016;36320;11872;55295;112550;31355;10116;36301;104433
8;900;1251275;828420;829694;850784;2744618;821417;1807625;2031473;2792384;4207;1720301;1964575;2844821;4786;1723582;1925109;834764;3875;335939;404197;904586;69535;419215;467807;23897;13526;11995;27859;31927;25655;13810;34615;100453;103224;134162;126078;1791170;1621361;189292;77705;108244;118300;89238;116719;44514;13185;55711;129667;37045;11686;42310;110033
9;1000;1554030;1021173;1023045;1047759;3390925;1013099;2247928;2553509;3459019;4670;2154180;2436167;3485874;5068;2116287;2399070;1024681;4304;412045;508570;1094653;76820;511610;579545;25607;14212;13346;27671;34539;29441;14907;38630;108842;109878;132018;136882;2196644;2000861;237766;82061;121816;134992;107826;132004;52665;14623;51817;129430;38865;12157;46567;125452
10;1100;1887383;1243146;1230361;1260654;4152943;1238495;2728147;3072188;4133372;5220;2595719;2946467;4206619;5325;2572711;2932672;1241812;4674;500712;609264;1302120;83819;615039;690800;27431;15622;14082;27955;37995;40990;15294;40582;124294;122924;139058;156909;2644630;2409879;290948;92861;136655;150484;120011;149043;51689;17616;60737;153417;42734;14411;50765;143694
11;1200;2227817;1488559;1464310;1498341;4875185;1464490;3303521;3672259;5000503;5549;3116445;3530427;4995325;5630;3104090;3497569;1499175;4982;599250;720433;1539737;93480;734165;814524;27430;16994;14257;28775;41559;44054;16142;44201;136926;136822;152752;170210;3120848;2854145;348514;97865;150339;165505;133520;168075;59553;19379;70737;172809;48552;15395;53730;157613
12;1300;2621189;1731449;1759280;1764241;5720409;1712429;3862454;4314554;5851748;5760;3689679;4149550;5884240;5776;3696367;4123911;1752124;5384;706757;849758;1800819;101104;869790;949009;28038;17899;15480;29449;46303;48682;17466;45823;148398;149277;166300;188409;3679071;3352494;398748;113016;164077;185366;146871;192499;67534;20625;64819;212795;57194;16822;63201;174344
13;1400;3004489;2006747;2101591;2038522;6588639;1984561;4519304;4962567;6705370;6167;4268284;4934275;6826977;6247;4257876;4730605;2003993;5799;815168;982082;2083410;110396;996319;1110217;28833;19628;16778;30147;48215;52465;18816;48736;160426;160901;182189;209300;4235302;3940435;467199;116563;177606;205391;160090;216060;74324;22139;70394;208759;59462;18604;66819;189800
14;1500;3466993;2317086;2296931;2353955;7581650;2275786;5311800;5669407;7799491;6598;4904790;5581162;7821395;6067;4950290;5429160;2305921;6197;940643;1129177;2393835;120659;1147683;1258193;31085;20678;17784;29865;52812;57692;20186;53535;172128;171824;195430;217330;4849834;4489371;520424;124954;194818;221616;172667;217036;79247;25417;66425;219677;64617;19880;64770;213362
15;1600;3943338;2622995;2619508;2661912;8661669;2592664;6004944;6464675;8879715;7025;5640905;6356680;8907161;6010;5637760;6165348;2620009;6607;1078706;1283924;2731290;131187;1314455;1422911;30532;22181;19030;30040;55669;58590;20764;56324;183359;184344;206563;238577;5537054;5103324;593918;138683;210507;235914;185662;232004;81984;25805;99411;275018;67155;20990;68515;232357
16;1700;4424380;2971248;2977343;3005449;9850272;2933544;6908346;7378055;9941915;7422;6430924;7208960;10046530;6247;6398540;7056957;2975097;7020;1232543;1450800;3085710;138107;1506589;1588590;31282;23454;18195;31155;58593;62451;21120;60768;195055;194363;217838;254623;6243420;5782707;662662;151547;226224;251579;200201;251460;87615;26849;84819;274108;75900;23907;75032;251691
17;1800;4978975;3306609;3292610;3350144;11060318;3278623;7636617;8356105;11240704;7641;7266749;8064362;11447504;6453;7195814;8023128;3311513;8649;1374787;1660399;3412691;148421;1675064;1787313;32145;25067;19261;32159;63419;66095;22123;62444;205327;205269;234120;277383;6977787;6491269;744367;165412;241033;270230;221797;271489;97963;28613;95999;329996;81390;23791;77666;264295
