size;tics
100;22699
200;88115
300;191997
400;339148
500;527937
600;758813
700;1034594
800;1351991
900;1709009
1000;2105766
1100;2547360
1200;3032236
1300;3559063
1400;4129826
1500;4743611
1600;5400853
1700;6101167
1800;6844623
1900;7630797
2000;8461448
2100;9337799
2200;10257278
2300;11221041
2400;12226415
2500;13275209
2600;14367279
2700;15504065
2800;16683016
2900;17906063
3000;19170867
3100;20478064
3200;21832541
3300;23229941
3400;24670453
3500;26155167
3600;27685058
3700;29259718
3800;30883268
3900;32549629
4000;34256830
4100;36008658
