size;time
100;24916
200;85385
300;186684
400;328763
500;513869
600;726824
700;991273
800;1285640
900;1621361
1000;2000861
1100;2409879
1200;2854145
1300;3352494
1400;3940435
1500;4489371
1600;5103324
1700;5782707
1800;6491269
1900;7158959
2000;8017742
2100;8809315
2200;9695861
2300;10647229
2400;11546874
2500;12590242
2600;13611304
2700;14672615
2800;15663209
2900;16888560
3000;18156334
3100;19165843
3200;20486942
3300;21843473
3400;23262552
3500;24674369
3600;26061219
3700;27382478
3800;29180611
3900;30619244
4000;32330012
4100;33674340
