size;time
100;23931
200;89900
300;201917
400;356757
500;551205
600;794865
700;1080651
800;1402680
900;1791170
1000;2196644
1100;2644630
1200;3120848
1300;3679071
1400;4235302
1500;4849834
1600;5537054
1700;6243420
1800;6977787
1900;7792583
2000;8636235
2100;9501939
2200;10473399
2300;11391684
2400;12401627
2500;13537572
2600;14620082
2700;15832121
2800;16999783
2900;18339391
3000;19502562
3100;20920407
3200;22286667
3300;23609650
3400;25089942
3500;26478316
3600;27937212
3700;29506413
3800;31136763
3900;33013289
4000;35156305
4100;36576423
