size;time
100;6588
200;17970
300;37255
400;64933
500;87454
600;110438
700;137466
800;164761
900;189292
1000;237766
1100;290948
1200;348514
1300;398748
1400;467199
1500;520424
1600;593918
1700;662662
1800;744367
1900;832127
2000;909176
2100;996241
2200;1097278
2300;1189617
2400;1285674
2500;1353654
2600;1467673
2700;1607174
2800;1699172
2900;1833026
3000;1947971
3100;2063042
3200;2221799
3300;2395530
3400;2502831
3500;2666718
3600;2766089
3700;2912019
3800;3066741
3900;3230194
4000;3404248
4100;3579475
