size;tics
100;25361
200;100731
300;226097
400;401471
500;626837
600;902203
700;1227569
800;1602939
900;2028301
1000;2503667
1100;3029017
1200;3604367
1300;4229717
1400;4905067
1500;5630417
1600;6405767
1700;7231117
1800;8106467
1900;9031817
2000;10007167
2100;11032517
2200;12107867
2300;13233217
2400;14408567
2500;15633917
2600;16909267
2700;18234617
2800;19609967
2900;21035317
3000;22510667
3100;24036017
3200;25611367
3300;27236717
3400;28912067
3500;30637417
3600;32412767
3700;34238117
3800;36113467
3900;38038817
4000;40014167
4100;42039517
