size;time
100;15883
200;60417
300;127943
400;196082
500;270095
600;370815
700;503746
800;658595
900;829694
1000;1023045
1100;1230361
1200;1464310
1300;1759280
1400;2101591
1500;2296931
1600;2619508
1700;2977343
1800;3292610
1900;3711343
2000;4063062
2100;4489113
2200;4968970
2300;5438115
2400;5846519
2500;6350710
2600;6971011
2700;7472083
2800;7955126
2900;8554651
3000;9278896
3100;9938085
3200;10519925
3300;11186534
3400;11915210
3500;12613064
3600;13320581
3700;14047663
3800;14886975
3900;15543972
4000;16491032
4100;17340271
