size;tics
100;23230
200;92664
300;204578
400;354121
500;545991
600;793517
700;1098778
800;1416288
900;1793153
1000;2240623
1100;2694861
1200;3194702
1300;3766759
1400;4361892
1500;5007002
1600;5695591
1700;6448485
1800;7266908
1900;8116435
2000;9089919
2100;9978281
2200;10910275
2300;11873454
2400;12931385
2500;14100088
2600;15197574
2700;16370561
2800;17640748
2900;18938043
3000;20213774
3100;21571279
3200;22950420
3300;24334970
3400;25870243
3500;27340248
3600;28927424
3700;30506797
3800;32370084
3900;34133525
4000;35993761
4100;37836447
