size;time
100;12720
200;41657
300;84528
400;118620
500;166771
600;219475
700;295777
800;379485
900;467807
1000;579545
1100;690800
1200;814524
1300;949009
1400;1110217
1500;1258193
1600;1422911
1700;1588590
1800;1787313
1900;2016940
2000;2256326
2100;2442360
2200;2648477
2300;2879001
2400;3136510
2500;3400783
2600;3663163
2700;3937104
2800;4236639
2900;4594640
3000;4902611
3100;5178613
3200;5489658
3300;5837340
3400;6192010
3500;6499983
3600;6876346
3700;7293810
3800;7693544
3900;8171797
4000;8533259
4100;9016803
