size;tics
100;24424
200;90396
300;197096
400;343932
500;531432
600;758932
700;1026432
800;1334196
900;1682496
1000;2070796
1100;2499096
1200;2967396
1300;3475696
1400;4023996
1500;4612296
1600;5241116
1700;5910216
1800;6619316
1900;7368416
2000;8157516
2100;8986616
2200;9855716
2300;10764816
2400;11713916
2500;12703016
2600;13732116
2700;14801216
2800;15910316
2900;17059416
3000;18248516
3100;19477848
3200;20747748
3300;22057648
3400;23407548
3500;24797448
3600;26227348
3700;27697248
3800;29207148
3900;30757048
4000;32346948
4100;33976848
