size;time
100;14780
200;52530
300;108673
400;189900
500;289651
600;409063
700;549184
800;714361
900;904586
1000;1094653
1100;1302120
1200;1539737
1300;1800819
1400;2083410
1500;2393835
1600;2731290
1700;3085710
1800;3412691
1900;3821784
2000;4268705
2100;4679065
2200;5175009
2300;5608916
2400;6140909
2500;6545582
2600;7156681
2700;7693676
2800;8256972
2900;8833798
3000;9526295
3100;10236203
3200;10903832
3300;11415632
3400;12218848
3500;13033790
3600;13535830
3700;14349659
3800;15158241
3900;15966720
4000;16780119
4100;17573592
