size;tics
100;12166
200;45566
300;95402
400;162518
500;253894
600;364962
700;501702
800;635046
900;805246
1000;988106
1100;1189314
1200;1421806
1300;1680158
1400;1931078
1500;2231554
1600;2550914
1700;2890082
1800;3250602
1900;3628858
2000;4025414
2100;4448562
2200;4882810
2300;5346722
2400;5834118
2500;6311734
2600;6826470
2700;7343938
2800;7875246
2900;8540430
3000;9128270
3100;9798454
3200;10473266
3300;11125234
3400;11814002
3500;12574850
3600;13310466
3700;14103110
3800;14876122
3900;15715486
4000;16415454
4100;17313370
