size;time
100;13041
200;42404
300;79131
400;125902
500;181479
600;220639
700;270687
800;329654
900;419215
1000;511610
1100;615039
1200;734165
1300;869790
1400;996319
1500;1147683
1600;1314455
1700;1506589
1800;1675064
1900;1881928
2000;2069163
2100;2288455
2200;2493375
2300;2755995
2400;2987458
2500;3247402
2600;3489225
2700;3759600
2800;4050928
2900;4384224
3000;4679696
3100;5024566
3200;5356504
3300;5725644
3400;6048563
3500;6485298
3600;6819372
3700;7368004
3800;7751345
3900;8166684
4000;8404918
4100;8854811
