size;tics
100;35063
200;140133
300;315199
400;560273
500;875339
600;1260405
700;1715471
800;2240541
900;2835603
1000;3500669
1100;4235719
1200;5040769
1300;5915819
1400;6860869
1500;7875919
1600;8960969
1700;10116019
1800;11341069
1900;12636119
2000;14001169
2100;15436219
2200;16941269
2300;18516319
2400;20161369
2500;21876419
2600;23661469
2700;25516519
2800;27441569
2900;29436619
3000;31501669
3100;33636719
3200;35841769
3300;38116819
3400;40461869
3500;42876919
3600;45361969
3700;47917019
3800;50542069
3900;53237119
4000;56002169
4100;58837219
