size;tics
100;45019
200;180573
300;405007
400;716165
500;1116135
600;1610841
700;2201207
800;2867017
900;3629207
1000;4492777
1100;5429355
1200;6456201
1300;7585143
1400;8794341
1500;10095751
1600;11486485
1700;12975799
1800;14564237
1900;16236499
2000;18033853
2100;19863375
2200;21782289
2300;23785063
2400;25899949
2500;28134067
2600;30406533
2700;32782555
2800;35271777
2900;37843047
3000;40474733
3100;43212763
3200;46030409
3300;48920459
3400;51947497
3500;55015527
3600;58205633
3700;61462271
3800;64915093
3900;68393539
4000;71985005
4100;75638671
