size;time
100;27212
200;109357
300;242475
400;407615
500;617875
600;890881
700;1225545
800;1587269
900;2031473
1000;2553509
1100;3072188
1200;3672259
1300;4314554
1400;4962567
1500;5669407
1600;6464675
1700;7378055
1800;8356105
1900;9274504
2000;10327977
2100;11622266
2200;12560067
2300;13830841
2400;14907791
2500;16317085
2600;17684222
2700;19098644
2800;20678720
2900;22335393
3000;23836355
3100;25473797
3200;27383773
3300;28714561
3400;30649935
3500;32483746
3600;34593205
3700;36421159
3800;38628066
3900;40806078
4000;42886812
4100;45378349
