size;tics
100;54847
200;219697
300;494547
400;879397
500;1374247
600;1979097
700;2693947
800;3518797
900;4453647
1000;5498497
1100;6653347
1200;7918197
1300;9293047
1400;10777897
1500;12372747
1600;14077597
1700;15892447
1800;17817297
1900;19852147
2000;21996997
2100;24251847
2200;26616697
2300;29091547
2400;31676397
2500;34371247
2600;37176097
2700;40090947
2800;43115797
2900;46250647
3000;49495497
3100;52850347
3200;56315197
3300;59890047
3400;63574897
3500;67369747
3600;71274597
3700;75289447
3800;79414297
3900;83649147
4000;87993997
4100;92448847
