size;time
100;37775
200;137674
300;315400
400;550907
500;853820
600;1227215
700;1676882
800;2166002
900;2744618
1000;3390925
1100;4152943
1200;4875185
1300;5720409
1400;6588639
1500;7581650
1600;8661669
1700;9850272
1800;11060318
1900;12178895
2000;13641536
2100;14862329
2200;16341695
2300;17895792
2400;19559139
2500;21190278
2600;22779218
2700;24806196
2800;26910361
2900;28506885
3000;30559905
3100;32623987
3200;34639026
3300;36606825
3400;38888127
3500;41212395
3600;44282956
3700;46579230
3800;49217503
3900;52207745
4000;53968234
4100;57300056
