size;tics
100;47621
200;190835
300;425122
400;753520
500;1171835
600;1699736
700;2323825
800;3025972
900;3827097
1000;4735620
1100;5727416
1200;6811936
1300;8005960
1400;9277295
1500;10642020
1600;12121242
1700;13694821
1800;15363087
1900;17137680
2000;19044376
2100;20962400
2200;22988797
2300;25093251
2400;27319162
2500;29701862
2600;32100395
2700;34594822
2800;37210365
2900;39829040
3000;42706565
3100;45602010
3200;48574827
3300;51627621
3400;54810756
3500;58027456
3600;61418472
3700;64780457
3800;68509402
3900;72163137
4000;75972812
4100;79841365
