size;time
100;30588
200;126603
300;254924
400;375659
500;538583
600;781559
700;1061291
800;1344780
900;1720301
1000;2154180
1100;2595719
1200;3116445
1300;3689679
1400;4268284
1500;4904790
1600;5640905
1700;6430924
1800;7266749
1900;8146509
2000;8933805
2100;9918788
2200;10919505
2300;12074897
2400;13242671
2500;14349411
2600;15674329
2700;16940949
2800;18245938
2900;19689357
3000;21247448
3100;22606454
3200;24211931
3300;25934377
3400;27625270
3500;29182887
3600;31115034
3700;32966194
3800;34700489
3900;37187121
4000;39125339
4100;40824494
