size;time
100;28445
200;112154
300;228613
400;382654
500;592401
600;863402
700;1185283
800;1524275
900;1925109
1000;2399070
1100;2932672
1200;3497569
1300;4123911
1400;4730605
1500;5429160
1600;6165348
1700;7056957
1800;8023128
1900;8986076
2000;10148933
2100;11105545
2200;12138934
2300;13217605
2400;14394141
2500;15644426
2600;16885865
2700;18343066
2800;19651641
2900;21157600
3000;22894395
3100;24497790
3200;26257375
3300;27883963
3400;29550222
3500;31497195
3600;33257445
3700;35663629
3800;37142398
3900;39117722
4000;41626484
4100;44341318
