size;time
100;37890
200;144543
300;314367
400;562768
500;877935
600;1280889
700;1720873
800;2246325
900;2844821
1000;3485874
1100;4206619
1200;4995325
1300;5884240
1400;6826977
1500;7821395
1600;8907161
1700;10046530
1800;11447504
1900;12718745
2000;13738436
2100;15412007
2200;16703806
2300;18516417
2400;20193491
2500;21712693
2600;23112710
2700;25244055
2800;26765082
2900;28966116
3000;31586694
3100;34407613
3200;35194417
3300;37439642
3400;39730000
3500;42089891
3600;45024737
3700;47506458
3800;50194085
3900;52722979
4000;55633512
4100;58199276
