size;tics
100;37710
200;163160
300;371292
400;660898
500;1028716
600;1470338
700;2024232
800;2593766
900;3325200
1000;4076424
1100;4955620
1200;5901868
1300;6950180
1400;8036342
1500;9223722
1600;10542448
1700;11913840
1800;13388048
1900;14898096
2000;16464928
2100;18133288
2200;19963994
2300;21773280
2400;23746014
2500;25717548
2600;27816354
2700;30014670
2800;32249044
2900;34644806
3000;37113484
3100;39596930
3200;42249432
3300;44947934
3400;47613492
3500;50585672
3600;53513990
3700;56575000
3800;59637042
3900;62865028
4000;65857534
4100;69363280
