;size;selection_reverse_sorted;selection_almost_sorted;selection_small_numbers;selection_large_numbers;bubble_reverse_sorted;bubble_almost_sorted;bubble_small_numbers;bubble_large_numbers;bubble_1_reverse_sorted;bubble_1_almost_sorted;bubble_1_small_numbers;bubble_1_large_numbers;bubble_2_reverse_sorted;bubble_2_almost_sorted;bubble_2_small_numbers;bubble_2_large_numbers;simple_insertion_reverse_sorted;simple_insertion_almost_sorted;simple_insertion_small_numbers;simple_insertion_large_numbers;binary_insertion_reverse_sorted;binary_insertion_almost_sorted;binary_insertion_small_numbers;binary_insertion_large_numbers;counting_reverse_sorted;counting_almost_sorted;counting_small_numbers;counting_large_numbers;radix_reverse_sorted;radix_almost_sorted;radix_small_numbers;radix_large_numbers;merge_reverse_sorted;merge_almost_sorted;merge_small_numbers;merge_large_numbers;quick_reverse_sorted;quick_almost_sorted;quick_small_numbers;quick_large_numbers;heap_reverse_sorted;heap_almost_sorted;heap_small_numbers;heap_large_numbers;shell_shell_reverse_sorted;shell_shell_almost_sorted;shell_shell_small_numbers;shell_shell_large_numbers;shell_ciura_reverse_sorted;shell_ciura_almost_sorted;shell_ciura_small_numbers;shell_ciura_large_numbers
0;100;27995;25361;25680;25954;54847;35063;42651;45019;60095;1415;42211;47621;60196;1178;37710;45280;45343;829;17902;23230;24424;5168;12166;14862;34712;2844;1944;33390;8985;6963;2547;8991;10083;10288;11038;11233;28339;22699;7130;4438;11467;13848;10858;12819;2880;64;1472;4332;2851;101;1575;3940
1;200;110995;100731;101401;102125;219697;140133;174137;180573;240195;2840;176007;190835;240396;2438;163160;181030;180693;1674;78183;92664;90396;11926;45566;51834;36612;5510;3844;35788;17785;13773;5047;17793;22683;23093;25128;25418;111689;88115;20731;10801;26512;32030;24714;29306;6843;122;3521;9626;5557;156;3401;9473
2;300;248995;226097;227128;228216;494547;315199;389211;405007;540295;4260;397460;425122;540596;3602;371292;397804;406043;2510;169037;204578;197096;19248;95402;108120;38512;8388;5744;37706;26585;20595;7547;26595;36163;36818;40328;40768;250039;191997;43572;17024;43556;51733;40496;48093;11026;169;5944;16746;9143;200;5216;18229
3;400;441995;401471;402821;404264;879397;560273;688661;716165;960395;5690;706036;753520;960796;4868;660898;707356;721393;3364;292237;354121;343932;27056;162518;181706;40412;11224;7644;39606;35385;27415;10047;35395;50383;51208;56103;56853;443389;339148;75475;22922;61419;72256;56579;67330;15866;235;9035;28373;11673;266;6635;23652
4;500;689995;626837;628531;630620;1374247;875339;1078251;1116135;1500495;7110;1100561;1171835;1500996;6032;1028716;1101388;1126743;4200;460752;545991;531432;34836;253894;274210;42312;13986;9544;41506;44185;34233;12547;44195;64943;65273;72008;73153;691739;527937;115752;28183;79830;93114;72200;87671;23126;279;9618;32707;17371;310;8472;31968
5;600;992995;902203;904220;906896;1979097;1260405;1553821;1610841;2160595;8530;1577340;1699736;2161196;7196;1470338;1607458;1622093;5036;665222;793517;758932;43330;364962;391664;44212;16766;11444;43406;52985;41061;15047;52995;79843;81143;89133;90443;995089;758813;160537;35460;99068;115655;88618;108613;25329;326;12305;41554;21947;354;10859;39789
6;700;1350995;1227569;1229937;1232992;2693947;1715471;2122095;2201207;2940695;9950;2158750;2323825;2941396;8540;2024232;2201446;2207443;5872;920776;1098778;1026432;51874;501702;535080;46112;19578;13344;45306;61785;47889;17547;61795;95203;96908;106478;108093;1353439;1034594;212871;42650;118943;138699;105821;129385;32149;370;12558;47230;25401;398;12663;47467
7;800;1763995;1602939;1605647;1609317;3518797;2240541;2753717;2867017;3840795;11375;2785080;3025972;3841596;9800;2593766;2860450;2882793;6717;1161363;1416288;1334196;60454;635046;684152;48012;22290;15244;47206;70585;54697;20047;70595;110783;112433;123613;125703;1766789;1351991;279510;52082;139179;161694;124224;151209;36109;425;24515;74488;27623;453;13983;55717
8;900;2231995;2028301;2031345;2035726;4453647;2835603;3488271;3629207;4860895;12790;3552437;3827097;4861796;10778;3325200;3614722;3648143;7544;1476047;1793153;1682496;69036;805246;859600;49912;25040;17144;49106;79385;61511;22547;79395;126463;127883;141038;143518;2235139;1709009;347210;58527;159954;184680;140731;173180;46009;458;20522;86093;31253;486;15435;64264
9;1000;2754995;2503667;2507066;2512126;5498497;3500669;4304269;4492777;6000995;14210;4374447;4735620;6001996;12212;4076424;4469064;4503493;8380;1816480;2240623;2070796;77638;988106;1066394;51812;27784;19044;51006;88185;68327;25047;88195;142403;143068;158463;161258;2758489;2105766;425910;67353;179346;207689;160668;195086;51729;502;18685;73718;34047;530;18064;72228
