size;tics
100;28339
200;111689
300;250039
400;443389
500;691739
600;995089
700;1353439
800;1766789
900;2235139
1000;2758489
1100;3336839
1200;3970189
1300;4658539
1400;5401889
1500;6200239
1600;7053589
1700;7961939
1800;8925289
1900;9943639
2000;11016989
2100;12145339
2200;13328689
2300;14567039
2400;15860389
2500;17208739
2600;18612089
2700;20070439
2800;21583789
2900;23152139
3000;24775489
3100;26453839
3200;28187189
3300;29975539
3400;31818889
3500;33717239
3600;35670589
3700;37678939
3800;39742289
3900;41860639
4000;44033989
4100;46262339
