size;tics
100;7130
200;20731
300;43572
400;75475
500;115752
600;160537
700;212871
800;279510
900;347210
1000;425910
1100;517541
1200;619001
1300;712324
1400;835472
1500;940641
1600;1075366
1700;1205744
1800;1352584
1900;1506076
2000;1656257
2100;1827855
2200;2013220
2300;2179646
2400;2371516
2500;2570442
2600;2777593
2700;2997394
2800;3205401
2900;3440749
3000;3696741
3100;3922312
3200;4175244
3300;4445305
3400;4740689
3500;4988490
3600;5292692
3700;5572996
3800;5878533
3900;6189539
4000;6519704
4100;6825033
