size;time
100;12498
200;48093
300;99726
400;168001
500;254209
600;367314
700;499971
800;650950
900;828420
1000;1021173
1100;1243146
1200;1488559
1300;1731449
1400;2006747
1500;2317086
1600;2622995
1700;2971248
1800;3306609
1900;3653267
2000;4060880
2100;4479314
2200;4901940
2300;5350788
2400;5885236
2500;6328775
2600;6857393
2700;7518479
2800;8055382
2900;8585953
3000;9230242
3100;9849849
3200;10528349
3300;11137851
3400;11780234
3500;12549370
3600;13218282
3700;13981599
3800;14829460
3900;15601949
4000;16387868
4100;17192485
