size;tics
100;25954
200;102125
300;228216
400;404264
500;630620
600;906896
700;1232992
800;1609317
900;2035726
1000;2512126
1100;3038215
1200;3614596
1300;4240858
1400;4917209
1500;5643803
1600;6420032
1700;7246390
1800;8122465
1900;9048947
2000;10025177
2100;11051758
2200;12128362
2300;13254634
2400;14430885
2500;15657020
2600;16933488
2700;18259793
2800;19635981
2900;21062161
3000;22539015
3100;24065673
3200;25642058
3300;27267738
3400;28944634
3500;30670571
3600;32447087
3700;34273342
3800;36149715
3900;38076665
4000;40052801
4100;42078899
