size;time
100;16754
200;55944
300;118299
400;184972
500;268343
600;382371
700;513853
800;678640
900;850784
1000;1047759
1100;1260654
1200;1498341
1300;1764241
1400;2038522
1500;2353955
1600;2661912
1700;3005449
1800;3350144
1900;3778835
2000;4126024
2100;4518568
2200;4981219
2300;5420202
2400;5903224
2500;6392678
2600;6930807
2700;7445166
2800;8136465
2900;8719914
3000;9296521
3100;9970338
3200;10584944
3300;11229609
3400;11925835
3500;12569962
3600;13243389
3700;13987599
3800;14770621
3900;15666303
4000;16493769
4100;17261233
