size;tics
100;27995
200;110995
300;248995
400;441995
500;689995
600;992995
700;1350995
800;1763995
900;2231995
1000;2754995
1100;3332995
1200;3965995
1300;4653995
1400;5396995
1500;6194995
1600;7047995
1700;7955995
1800;8918995
1900;9936995
2000;11009995
2100;12137995
2200;13320995
2300;14558995
2400;15851995
2500;17199995
2600;18602995
2700;20060995
2800;21573995
2900;23141995
3000;24764995
3100;26442995
3200;28175995
3300;29963995
3400;31806995
3500;33704995
3600;35657995
3700;37665995
3800;39728995
3900;41846995
4000;44019995
4100;46247995
