size;time
100;17954
200;66276
300;142972
400;252354
500;394096
600;563472
700;767159
800;1004073
900;1251275
1000;1554030
1100;1887383
1200;2227817
1300;2621189
1400;3004489
1500;3466993
1600;3943338
1700;4424380
1800;4978975
1900;5541680
2000;6167343
2100;6781994
2200;7420294
2300;8158670
2400;8841784
2500;9577465
2600;10417785
2700;11258940
2800;12095014
2900;12898944
3000;13798319
3100;14702039
3200;15746783
3300;16793520
3400;17777554
3500;18765334
3600;19994946
3700;21072409
3800;22188915
3900;23304761
4000;24665185
4100;25793492
