size;tics
100;25680
200;101401
300;227128
400;402821
500;628531
600;904220
700;1229937
800;1605647
900;2031345
1000;2507066
1100;3032800
1200;3608510
1300;4234278
1400;4909952
1500;5635672
1600;6411421
1700;7237162
1800;8112890
1900;9038611
2000;10014388
2100;11040144
2200;12115787
2300;13241522
2400;14417277
2500;15642969
2600;16918682
2700;18244386
2800;19620106
2900;21045840
3000;22521571
3100;24047294
3200;25623035
3300;27248767
3400;28924511
3500;30650255
3600;32425949
3700;34251702
3800;36127422
3900;38053184
4000;40028824
4100;42054575
