size;tics
100;45343
200;180693
300;406043
400;721393
500;1126743
600;1622093
700;2207443
800;2882793
900;3648143
1000;4503493
1100;5448843
1200;6484193
1300;7609543
1400;8824893
1500;10130243
1600;11525593
1700;13010943
1800;14586293
1900;16251643
2000;18006993
2100;19852343
2200;21787693
2300;23813043
2400;25928393
2500;28133743
2600;30429093
2700;32814443
2800;35289793
2900;37855143
3000;40510493
3100;43255843
3200;46091193
3300;49016543
3400;52031893
3500;55137243
3600;58332593
3700;61617943
3800;64993293
3900;68458643
4000;72013993
4100;75659343
