size;time
100;10798
200;42701
300;91784
400;165600
500;257061
600;368129
700;500269
800;657709
900;834764
1000;1024681
1100;1241812
1200;1499175
1300;1752124
1400;2003993
1500;2305921
1600;2620009
1700;2975097
1800;3311513
1900;3692466
2000;4098045
2100;4527105
2200;4980852
2300;5456344
2400;5931074
2500;6385465
2600;7018627
2700;7445478
2800;8003011
2900;8608708
3000;9135430
3100;9794546
3200;10398166
3300;11037660
3400;11823465
3500;12538073
3600;13158365
3700;13952563
3800;14724374
3900;15560051
4000;16325253
4100;17104498
