size;tics
100;17902
200;78183
300;169037
400;292237
500;460752
600;665222
700;920776
800;1161363
900;1476047
1000;1816480
1100;2190897
1200;2626505
1300;3112504
1400;3571242
1500;4131536
1600;4724266
1700;5359575
1800;6025709
1900;6722425
2000;7455195
2100;8231777
2200;9025954
2300;9878181
2400;10779107
2500;11633188
2600;12562698
2700;13486367
2800;14446018
2900;15687729
3000;16747910
3100;17979217
3200;19212891
3300;20371811
3400;21608644
3500;23002968
3600;24323366
3700;25769143
3800;27157896
3900;28682999
4000;29876506
4100;31522956
