size;time
100;9415
200;34316
300;72135
400;111866
500;159050
600;201517
700;242127
800;269558
900;335939
1000;412045
1100;500712
1200;599250
1300;706757
1400;815168
1500;940643
1600;1078706
1700;1232543
1800;1374787
1900;1532793
2000;1704350
2100;1883292
2200;2056515
2300;2248236
2400;2456501
2500;2647155
2600;2887867
2700;3078378
2800;3298876
2900;3577751
3000;3814328
3100;4100934
3200;4419872
3300;4674970
3400;4972734
3500;5330694
3600;5595674
3700;5923623
3800;6201506
3900;6572385
4000;6820412
4100;7161209
